,Country,index,gdppc,Nrrent,TIME,pop,life_exp,muslim,female_uni,female_over_male,IQ,SelfEfficacy,SelfConcept,math_anxiety,equality_index,f_STEM,loggdppc,hy_f_STEM
0,Bangladesh,20,1730.3468699999999,1.0,2002.0,136228.456,0.20981809409922403,88.0,31.40955,0.8729749864364781,82.0,,,,-0.389948768,28.559209999999997,7.45607717028398,46.609004004767854
1,Bangladesh,21,1781.34487,1.0,2003.0,138600.174,0.20935924654755483,88.0,32.748509999999996,0.6403980338372052,82.0,,,,-0.389948768,23.771520000000002,7.485123902949556,39.039185650521134
2,"China, Hong Kong Special Administrative Region",38,35486.72309,0.0,2003.0,6850.361,0.13505273663679915,0.0,50.8585,0.3307321339312963,108.0,0.41,0.48,0.38,-0.07022734,25.49941,10.476913908044224,24.85339652498175
3,"China, Hong Kong Special Administrative Region",39,38274.4182,0.0,2004.0,6841.705,0.13467096286671232,0.0,52.158190000000005,0.31694705562218667,108.0,0.41,0.48,0.38,-0.07022734,25.68328,10.55253701988782,24.06680316183601
4,"China, Hong Kong Special Administrative Region",40,40923.015960000004,0.0,2005.0,6842.465,0.133874415141327,0.0,51.95963,0.3167529130966226,108.0,0.41,0.48,0.38,-0.07022734,25.52006,10.619447921161887,24.055607543841404
5,"China, Hong Kong Special Administrative Region",41,43520.540810000006,0.0,2006.0,6855.818,0.1340655484144999,0.0,52.49884,0.3068955919727604,108.0,0.41,0.48,0.38,-0.07022734,25.32672,10.680988308152982,23.482793411943575
6,Ethiopia,51,600.7876,14.3,1999.0,64550.16099999999,0.19233165041989594,47.5,20.12858,0.48910522962562464,69.0,,,,-0.2450469960000001,10.97345,6.398241461089132,32.845578666632605
7,Ethiopia,52,619.1143400000001,14.3,2000.0,66443.603,0.19398108197112668,47.5,21.243660000000002,0.31439889404172255,69.0,,,,-0.2450469960000001,7.817589999999999,6.428289972912404,23.919595144740185
8,Ethiopia,54,642.49328,14.3,2002.0,70391.17,0.19488208535246682,47.5,23.80408,0.41071020026745286,69.0,,,,-0.2450469960000001,11.37175,6.465356357570709,29.113718763044844
9,Ethiopia,55,610.89275,14.3,2003.0,72432.29,0.19549680121945615,47.5,25.3773,0.40315997555880495,69.0,,,,-0.2450469960000001,12.05734,6.414921411849172,28.732288732669094
