"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","1999","1999",47.4259,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2000","2000",50.31816,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2001","2001",51.57343,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2002","2002",53.86598,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2003","2003",52.38095,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2004","2004",54.68032,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2005","2005",55.15713,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2006","2006",54.88913,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2007","2007",54.81454,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2008","2008",53.91756,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2009","2009",56.55148,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2010","2010",56.48621,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2011","2011",53.50046,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2012","2012",51.45015,,
"FGP_5T8_F500","Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","SWE","Sweden","2013","2013",49.58307,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","1999","1999",11.96736,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2000","2000",13.3792,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2001","2001",13.75516,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2002","2002",13.1307,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2004","2004",8.937,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2005","2005",9.39548,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2010","2010",10.92259,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2013","2013",15.40704,,
"FGP_5T8_F600","Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%)","NLD","Netherlands","2014","2014",16.57212,,
"FGP_5T8_F700","Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)","BFA","Burkina Faso","2011","2011",13.98784,,
"FGP_5T8_F700","Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)","BFA","Burkina Faso","2012","2012",17.04036,,
"FGP_5T8_F700","Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)","BFA","Burkina Faso","2013","2013",20.64897,,
"FGP_5T8_F700","Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)","BFA","Burkina Faso","2016","2016",17.16148,,
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2004","2004",70.65859,,
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2005","2005",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2006","2006",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2007","2007",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2009","2009",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2011","2011",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2012","2012",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2013","2013",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2014","2014",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","IRN","Iran (Islamic Republic of)","2015","2015",,"a","Category not applicable"
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","1999","1999",63.32171,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2001","2001",64.92365,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2002","2002",64.03991,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2003","2003",66.7307,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2004","2004",66.58604,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2005","2005",67.38733,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2006","2006",67.33922,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2007","2007",68.72464,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2008","2008",70.7856,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2009","2009",67.75362,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2010","2010",70.65324,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2011","2011",70.05194,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2012","2012",71.25,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2013","2013",70.07982,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2014","2014",68.4014,,
"FGP_5T8_F400","Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","SVN","Slovenia","2015","2015",67.74814,,
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","MDV","Maldives","1999","1999",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","MDV","Maldives","2000","2000",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","MDV","Maldives","2001","2001",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","MDV","Maldives","2002","2002",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","MDV","Maldives","2003","2003",,"a","Category not applicable"
"FGP_5T8_FUK","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)","MDV","Maldives","2014","2014",36.23188,,
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","1999","1999",,"a","Category not applicable"
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","2000","2000",,"a","Category not applicable"
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","2001","2001",,"a","Category not applicable"
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","2002","2002",,"a","Category not applicable"
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","2003","2003",,"a","Category not applicable"
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","2004","2004",,"a","Category not applicable"
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","2007","2007",,"a","Category not applicable"
"FGP_5T8_F200","Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%)","NIU","Niue","2008","2008",,"a","Category not applicable"
"FGP_5T8_F300","Percentage of graduates from Social Sciences, Journalism and Information programmes in tertiary education who are female (%)","VNM","Viet Nam","2005","2005",49.37668,,
"FGP_5T8_F300","Percentage of graduates from Social Sciences, Journalism and Information programmes in tertiary education who are female (%)","VNM","Viet Nam","2007","2007",27.14266,,
"FGP_5T8_F300","Percentage of graduates from Social Sciences, Journalism and Information programmes in tertiary education who are female (%)","VNM","Viet Nam","2008","2008",40.56827,,
