"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","1999","1999",50.25894,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2000","2000",49.10433,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2001","2001",50.42234,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2003","2003",53.42935,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2004","2004",54.92162,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2007","2007",57.10036,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2008","2008",57.70524,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2009","2009",58.97929,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2010","2010",58.52149,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2011","2011",58.56728,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2012","2012",59.63336,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2013","2013",59.48865,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2014","2014",60.41249,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","PSE","Palestine","2015","2015",60.28197,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2001","2001",41.63636,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2002","2002",44.47727,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2003","2003",44.66055,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2004","2004",46.94139,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2005","2005",47.2562,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2006","2006",49.53524,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2007","2007",49.35771,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2008","2008",49.1453,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2009","2009",50.57222,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2010","2010",49.29153,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2011","2011",51.55483,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2012","2012",53.2312,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2013","2013",55.14923,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2014","2014",53.25829,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","POL","Poland","2015","2015",54.87193,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","1999","1999",29.72973,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2002","2002",34.8659,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2003","2003",35.8706,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2004","2004",40.97616,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2005","2005",40.14085,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2006","2006",37.26346,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2007","2007",38.10848,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2008","2008",39.72445,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2009","2009",34,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2010","2010",36.43533,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2011","2011",51.48966,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2012","2012",35.54175,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2014","2014",40.89842,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","MYS","Malaysia","2015","2015",43.62567,,
"FGP_7","Percentage of graduates from tertiary ISCED 7 programmes who are female (%)","CRI","Costa Rica","2013","2013",59.32867,,
"FGP_7","Percentage of graduates from tertiary ISCED 7 programmes who are female (%)","CRI","Costa Rica","2014","2014",58.24554,,
"FGP_7","Percentage of graduates from tertiary ISCED 7 programmes who are female (%)","CRI","Costa Rica","2015","2015",58.3685,,
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","WSM","Samoa","1999","1999",,"a","Category not applicable"
"FGP_8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)","WSM","Samoa","2000","2000",,"a","Category not applicable"
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2004","2004",47.2436,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2005","2005",47.52782,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2006","2006",47.41383,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2007","2007",49.37292,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2008","2008",49.00216,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2009","2009",50.26414,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2010","2010",50.95742,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2011","2011",51.1219,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2012","2012",51.60642,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2013","2013",51.63579,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2014","2014",51.14061,,
"FGP_5","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)","CHN","China","2015","2015",51.57222,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","1999","1999",56.28382,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2000","2000",58.51513,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2001","2001",56.31904,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2002","2002",56.53557,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2003","2003",57.99892,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2004","2004",58.79168,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2005","2005",58.94697,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2006","2006",57.99028,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2007","2007",57.37379,,
"FGP_5T8","Percentage of graduates from tertiary education who are female (%)","DNK","Denmark","2008","2008",57.81043,,
