"Airspeed (km/h), x","Airspeed (km/h), y"
1903-12-17,10.98
1905-6-15,60.23
1906-11-12,41.292
1907-10-26,52.7
1909-5-25,54.81
1909-8-23,69.821
1909-8-24,74.318
1909-8-28,76.995
1910-4-23,77.579
1910-7-10,106.508
1910-10-29,109.756
1911-4-12,111.801
1911-5-11,119.76
1911-6-12,125
1911-6-16,130.057
1911-6-21,133.136
1912-1-13,145.161
1912-2-22,161.29
1912-2-29,162.454
1912-3-1,166.821
1912-3-2,167.91
1912-7-13,170.777
1912-9-9,174.1
1913-6-17,179.82
1913-9-27,191.897
1913-9-29,203.85
1914-6-15,216.5
1918-8-1,262.3
1919-6-15,307.5
1920-2-7,275.264
1920-2-28,283.464
1920-10-9,292.682
1920-10-10,296.694
1920-10-20,302.529
1920-11-4,309.012
1920-12-12,313.043
1921-9-26,330.275
1922-10-13,358.836
1922-10-18,360.93
1923-2-15,375
1923-3-29,380.74
1923-11-2,417.07
1923-11-4,429.02
1924-11-11,448.171
1927-11-4,479.29
1928-3-30,512.776
1929-8-15,582.6
1929-9-10,541.4
1929-9-12,575.5
1931-9-13,655.8
1933-4-10,682.078
1934-10-23,709.209
1935-6-15,566
1939-4-26,755.138
1941-6-15,1003.67
1944-6-15,1004
1944-6-15,1130
1945-11-7,975.9
1946-9-7,990.79
1947-6-19,1003.6
1947-8-20,1031.049
1947-8-25,1047.356
1947-10-14,1078
1947-11-6,1434
1948-9-15,1079.6
1952-11-18,1124.13
1953-7-16,1151.88
1953-9-7,1171
1953-9-26,1184
1953-10-3,1211.5
1953-10-29,1215.3
1955-8-20,1323
1956-3-10,1822
1957-12-12,1943.5
1958-5-18,2259.5
1959-10-31,2388
1959-12-15,2455.7
1961-11-22,2585.1
1962-7-7,2681
1965-5-1,3331.5
1976-7-28,3529.6
