Entity,Code,Year,Microprocessor clock speed (Hertz (pulses per second))
World,OWID_WRL,1976,1350000
World,OWID_WRL,1977,2060000
World,OWID_WRL,1978,2140000
World,OWID_WRL,1979,2290000
World,OWID_WRL,1980,1940000
World,OWID_WRL,1981,2410000
World,OWID_WRL,1982,2630000
World,OWID_WRL,1983,4070000
World,OWID_WRL,1984,5190000
World,OWID_WRL,1985,5890000
World,OWID_WRL,1986,7210000
World,OWID_WRL,1987,9430000
World,OWID_WRL,1988,12660000
World,OWID_WRL,1989,15630000
World,OWID_WRL,1990,19440000
World,OWID_WRL,1991,21180000
World,OWID_WRL,1992,29030000
World,OWID_WRL,1993,34150000
World,OWID_WRL,1994,53380000
World,OWID_WRL,1995,78040000
World,OWID_WRL,1996,140500000
World,OWID_WRL,1997,184280000
World,OWID_WRL,1998,337000000
World,OWID_WRL,1999,413680000
World,OWID_WRL,2001,1684000000
World,OWID_WRL,2002,2317000000
World,OWID_WRL,2003,3088000000
World,OWID_WRL,2004,3990000000
World,OWID_WRL,2005,5173000000
World,OWID_WRL,2006,5631000000
World,OWID_WRL,2007,6739000000
World,OWID_WRL,2010,11511000000
World,OWID_WRL,2013,19348000000
World,OWID_WRL,2016,28751000000
