compound_name,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
L-Carnitine,Saccharomyces cerevisiae,BY4741,1 mM,140,,,NS,20550520
L-Carnitine,Saccharomyces cerevisiae,BY4741,1 mM,260,,,NS,20550520
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,50,,,NS,20550520
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,42.8,,,NS,20550520
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,62.4,,,NS,20550520
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,21.4,,,NS,20550520
Spermidine,Drosophila melanogaster,w1118,1 mM,30,,,,19801973
Spermidine,Saccharomyces cerevisiae,,4 mM,233,,,,19801973
Spermidine,Caenorhabditis elegans,N2,0.2 mM,15,,,,19801973
Spermidine,Mus musculus,C57BL/6,Drinking water supplemented with 3mM,23.79,,Male,0.02,28386016
Spermidine,Mus musculus,C57BL/6J,0.3mM,11.3,,Female,<0.02,27841876
Spermidine,Mus musculus,C57BL/6J,3 mM,6.5,,,S,27841876
Aspirin,Mus musculus,UM-HET3,2.5g /kg food,8,0,Male,,18631321
Aspirin,Caenorhabditis elegans,N2,0.5 µM,23,,,,22866967
Aspirin,Caenorhabditis elegans,N2,1 µM,20.9,,,,22866967
Aspirin,Caenorhabditis elegans,N2,100 µM,16,,,,23485446
Aspirin,Acheta domesticus,,2.263x10^4 g aspirin/g food,49,,Female,,25833406
Aspirin,Acheta domesticus,,5.65x10^5 g aspirin/g food,67,,Male,,25833406
Aspirin,Acheta domesticus,,2.263x10^4 g aspirin/g food,77,,Male,,25833406
Aspirin,Acheta domesticus,,5.65x10^5 g aspirin/g food,52,,Female,,25833406
Aspirin,Acheta domesticus,,5.65x10^5 g aspirin/g food,134,,,,25833406
Aspirin,Acheta domesticus,,2.263x10^4 g aspirin/g food,111,,,,25833406
Aspirin,Caenorhabditis elegans,N2,100 µM,14.24,,,S,28910305
Lithocholic acid,Saccharomyces cerevisiae,BY4741,50 µM ,100,,,,20622262
Lithocholic acid,Saccharomyces cerevisiae,BY4742,50 µM,105.5,93,,S,30405886
Lithocholic acid,Drosophila melanogaster,w1118,50 μM,24.94,15.39,Male,S,30051966
SkQ1,Drosophila melanogaster,,20 pM-20 nM,14,,,,19120018
SkQ1,Ceriodaphnia affinis,,0.55 nM,100,,,,19120018
SkQ1,Podospora anserina,,100 nM,50,,,,19120018
C60,Rattus norvegicus,,1.7 mg/kg of body weight,90,,,,22498298
Caffeine,Drosophila melanogaster,Oregon R,0.01 mg/ml,-10.1,,Male,NS,8326745
Caffeine,Drosophila melanogaster,Oregon R,1 mg/ml,-3.3,,Male,NS,8326745
Caffeine,Drosophila melanogaster,Oregon R,0.1 mg/ml,1.7,,Male,NS,8326745
