,pubmed_id,publication_date
0,20550520,2010-08-01
1,19801973,2009-11-01
2,28386016,2017-06-01
3,27841876,2016-12-01
4,18631321,2008-10-01
5,22866967,2013-02-10
6,23485446,2013-05-01
7,25833406,2015-01-01
8,28910305,2017-09-14
9,20622262,2010-07-01
10,30405886,2018-10-09
11,30051966,2018-10-01
12,19120018,2008-12-01
13,22498298,2012-06-01
14,8326745,1993-04-01
15,18513215,2008-07-01
16,24764514,2012-12-01
17,26696878,2015-12-08
18,29093334,2017-01-01
19,30061824,2018-07-16
20,7488181,1995-11-22
21,20304770,2010-05-01
22,20090912,2010-01-18
23,23077661,2012-01-01
24,23900241,2013-01-01
25,24889636,2014-06-17
26,29263362,2017-12-20
27,29027899,2017-10-13
28,29167747,2017-11-20
29,27984722,2016-12-15
30,804507,1975-05-01
31,18077331,2007-12-18
32,12939617,2003-09-11
33,15254550,2004-08-05
34,15684413,2005-04-29
35,16256736,2005-11-01
36,16461283,2006-02-07
37,17156081,2007-02-01
38,17460219,2007-04-01
39,17875315,2007-10-01
40,19264118,2009-06-01
41,21364612,2010-01-01
42,22083438,2013-02-01
43,22451473,2013-01-01
44,22484922,2012-01-01
45,22868943,2012-07-01
46,22960591,2012-12-01
47,23220248,2013-02-01
48,23439553,2013-02-25
49,23698443,2013-05-23
50,24133070,2014-01-01
51,25569124,2015-06-01
52,25976661,2015-09-05
53,29324667,2018-01-11
54,27882602,2017-01-01
55,27190265,2016-10-01
56,27683245,2017-02-01
57,28727758,2017-07-20
58,28412652,2017-08-01
59,30320257,2018-09-30
60,29874838,2018-06-05
61,3749035,1986-10-01
62,25380600,2015-12-01
63,12391171,2002-11-01
64,19883616,2009-11-01
65,27680107,2017-05-04
66,27776915,2017-02-01
67,26764305,2016-01-01
68,22330257,2012-03-29
69,23185716,2012-10-01
70,23947005,2013-06-01
71,29152127,2017-09-23
72,30479271,2018-11-27
73,19442682,2009-07-01
74,21451522,2011-04-14
75,21151885,2010-12-07
76,28992589,2018-04-01
77,27076081,2016-04-12
78,28054425,2017-04-01
79,25720500,2015-06-01
80,10968795,2000-09-01
81,25190068,2015-08-01
82,25643626,2015-02-03
83,24835191,2014-09-01
84,26854551,2016-03-01
85,18755260,2008-10-01
86,24630720,2014-03-13
87,25554795,2014-11-01
88,20645870,2010-10-01
89,21855561,2011-10-01
90,22653297,2013-08-01
91,23063786,2013-02-01
92,23675008,2006-12-01
93,25173182,2014-01-01
94,25959406,2015-07-01
95,26136617,2015-01-30
96,30488487,2018-11-01
97,22114686,2011-01-01
98,4788962,1973-01-01
99,24828042,2014-06-19
100,26190651,2015-09-01
101,15653505,2005-01-14
102,19580823,2009-09-01
103,23339711,2013-03-06
104,26778291,2016-10-01
105,24134630,2014-04-01
106,20513639,2010-09-01
107,21525262,2011-06-01
108,28066251,2016-12-23
109,11792861,2002-01-22
110,24399048,2014-01-06
111,23780797,2014-02-01
112,12521609,2003-01-15
113,17959600,2008-01-04
114,24398558,2014-07-01
115,27068460,2016-04-19
116,18248662,2008-06-01
117,22363408,2012-01-01
118,16441844,2006-02-01
119,3833547,1985-01-01
120,24034891,2013-11-01
121,23313473,2013-03-01
122,23736695,2013-06-04
123,18033297,2007-11-22
124,26255886,2015-12-01
125,18221415,2008-03-01
126,20477758,2010-08-01
127,9701766,1998-06-15
128,11087911,2000-12-01
129,18409080,2008-10-01
130,22212533,2012-02-01
131,27966489,2016-12-01
132,6821144,1982-09-01
133,25186652,2015-02-01
134,9447249,1997-12-01
135,20819793,2010-12-01
136,26039957,2015-05-01
137,24305800,2014-01-01
138,26579191,2015-10-27
139,412727,1978-01-01
140,20828537,2010-10-01
141,19597959,2010-04-01
142,14618027,2003-01-01
143,23540700,2013-03-28
144,22013497,2011-01-01
145,22484623,2012-06-01
146,3721207,1986-01-01
147,20346071,2010-06-01
148,16872777,2006-10-01
149,25593647,2015-01-01
150,15346199,2004-09-01
151,15695762,2005-02-01
152,26676933,2016-04-01
153,26546011,2015-12-01
154,12447464,2002-06-01
155,20681748,2010-08-01
156,448040,1979-07-01
157,6656301,1983-09-01
158,25127866,2014-08-01
159,26141518,2015-09-01
160,19793063,2009-12-01
161,22737247,2012-01-01
162,3374177,1988-04-01
163,6479253,1984-01-01
164,7428854,1980-01-01
165,9406982,1997-10-01
166,10843344,2000-06-01
167,14706236,2004-01-01
168,15374519,1990-01-01
169,17169403,2007-02-01
170,18257658,2008-02-01
171,15328413,2004-08-31
172,17156833,2006-11-01
173,18486188,2008-06-01
174,22809229,2012-07-18
175,19837596,2009-11-15
176,24304198,2013-12-01
177,27783938,2016-10-25
178,8290600,1994-01-18
179,10100152,1999-01-15
180,11445596,2001-07-01
181,11909680,2002-05-01
182,24835194,2014-09-01
183,110607,1979-01-01
184,24245565,2014-04-01
185,21765926,2011-01-01
186,24244361,2013-11-11
187,20017609,2010-04-01
188,2782995,1989-07-01
189,22216122,2011-01-01
190,26145038,2015-09-01
191,19587680,2009-07-16
192,19934433,2009-11-24
193,20074526,2010-01-01
194,22107964,2011-12-15
195,22560223,2012-05-02
196,23682161,2014-02-01
197,23863708,2013-08-01
198,24341993,2014-06-01
199,24409289,2014-01-07
200,28025308,2017-10-01
201,27091134,2016-07-01
202,24332851,2013-12-26
203,27549339,2016-08-23
204,16266268,2005-09-01
205,18505478,2008-08-01
206,19085685,2009-02-01
207,23834676,2013-12-01
208,26375250,2015-10-13
209,22265987,2012-04-01
210,17440995,2007-05-01
211,17482543,2007-05-04
212,27127236,2016-06-17
213,17266678,2007-02-01
214,4927196,1971-01-22
215,22824366,2012-08-01
216,21348927,2011-06-01
217,19428456,2009-06-01
218,23603800,2013-04-01
219,22482728,2012-04-04
220,18024103,2008-02-01
221,18692520,2008-10-01
222,19043800,2009-10-01
223,21563825,2011-06-08
224,22493606,2012-04-05
225,7140862,1982-01-01
226,20413530,2010-06-01
227,24416295,2014-01-08
228,9469738,1998-02-01
229,19430925,2010-02-01
230,26535084,2015-11-01
231,22843669,2013-03-01
232,2118586,1990-01-01
233,8030852,1994-06-30
234,8914495,1996-11-01
235,8423709,1993-01-01
236,9258898,1997-03-01
237,9307048,1997-01-01
238,16463106,2005-01-01
239,6632988,1983-06-01
240,23472183,2013-01-01
241,21483034,2011-04-01
242,24096697,2013-09-01
243,22942172,2012-09-01
244,25619942,2015-03-01
245,8950031,1996-11-01
246,15621204,2005-02-01
247,19370397,2010-02-01
248,25556763,2015-04-01
249,23044027,2013-02-01
250,24549958,2014-12-01
251,28239780,2018-04-01
252,26292053,2015-10-01
253,29504896,2018-02-09
254,22422488,2012-09-01
255,21040400,2011-02-01
256,23523941,2013-05-20
257,26120775,2015-12-01
258,19501612,2009-08-01
259,21296648,2011-06-01
260,22509764,2012-05-10
261,20889128,2010-10-06
262,26119340,2015-07-02
263,15247057,2004-06-01
264,17516143,2007-10-01
265,23993264,2014-01-01
266,21503726,2011-08-01
267,11805047,2002-01-01
268,24714520,2014-04-08
269,25789174,2015-01-01
270,21805983,2011-08-26
271,23314750,2013-12-01
272,24199155,2013-02-14
273,27135165,2016-02-24
274,24964141,2014-06-25
275,24582957,2014-03-13
276,17416441,2008-09-01
277,21932172,2011-09-01
278,21153705,2011-06-01
279,21264793,2011-04-01
280,24077178,2013-11-01
281,27320176,2017-01-01
282,29514072,2018-03-06
283,25589054,2015-03-01
284,15547319,2004-01-01
285,23543623,2013-03-28
286,9614711,1998-04-01
287,21061062,2011-06-01
288,24093496,2014-06-01
289,23725375,2013-10-01
290,21858192,2011-01-01
291,20421998,2010-04-21
292,24952637,2014-08-01
293,6752596,1982-07-01
294,24120568,2013-12-01
295,21455602,2012-04-01
296,9207858,1997-07-01
297,18536978,2009-02-01
298,23000058,2012-11-15
299,16377915,2005-12-01
300,22970337,2012-01-01
301,23392608,2013-02-15
302,20528576,2010-07-01
303,23410029,2013-04-01
304,575333,1979-01-01
305,26234580,2015-11-01
306,20553190,2010-08-01
307,25456850,2014-12-01
308,24338263,2014-04-01
309,20738162,2010-11-01
310,9825229,1998-01-01
311,19634056,2009-09-01
312,21836798,2010-04-01
313,12954483,2003-09-01
314,20717869,2011-01-01
315,24305778,2014-04-01
316,21319854,2011-03-09
317,24265871,2013-05-30
318,24337961,2014-04-01
319,25456847,2014-12-01
320,23509272,2013-04-02
321,23291977,2013-04-01
322,26239097,2015-10-01
323,18400258,2008-06-01
324,21737933,2011-01-01
325,20944427,2010-01-01
326,23959012,2013-01-01
327,21858156,2011-01-01
328,23704949,2013-05-21
329,26433219,2016-09-01
330,23878618,2013-07-01
331,20455573,2010-06-09
