Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Tour Incity,Lyon,200,656,39,2013,2015,2,Concrete,100,No
Ryomyong Street Apartment Building,Pyongyang,270,886,82,2016,2017,1,Concrete,270,No
Ryomyong Street 70-Storey Building,Pyongyang,240,787,70,2016,2017,1,Concrete,240,No
Ryomyong Street 55-Storey Building,Pyongyang,210,689,55,2016,2017,1,Concrete,210,No
Ryomyong Street 50-Storey Building,Pyongyang,200,656,50,2016,2017,1,Concrete,200,No
Mirae Scientists Street Residential Tower,Pyongyang,210,689,53,2014,2015,1,Concrete,210,No
The Belcher's Tower 5,Hong Kong,"226,7",744,61,2000,2001,1,Concrete,"226,7",No
The Belcher's Tower 6,Hong Kong,"226,7",744,61,2000,2001,1,Concrete,"226,7",No
The Belcher's Tower 8,Hong Kong,"214,4",704,61,2000,2001,1,Concrete,"214,4",No
The Belcher's Tower 2,Hong Kong,"220,6",724,63,1999,2000,1,Concrete,"220,6",No
The Belcher's Tower 3,Hong Kong,"214,4",704,61,1999,2000,1,Concrete,"214,4",No
60 Wall Street,New York City,"227,1",745,55,1988,1989,1,Steel,"227,1",No
Empire State Building,New York City,381,"1,25",102,1930,1931,"1,1",Steel,"346,363636363636",No
500 Fifth Avenue,New York City,"212,5",697,59,1930,1931,1,Steel,"212,5",No
The Trump Building,New York City,"282,6",927,71,1929,1930,1,Steel,"282,6",No
ASHTON Chula-Silom,Bangkok,"203,8",669,57,2016,2018,2,Concrete,"101,9",No
Das Intellitech Headquarters,Shenzhen,200,656,40,2016,2018,2,Concrete,100,No
The-W 101,Busan,"246,4",808,69,2015,2017,2,Concrete,"123,2",No
The-W 102,Busan,"246,4",808,69,2015,2017,2,Concrete,"123,2",No
The-W 103,Busan,"246,4",808,69,2015,2017,2,Concrete,"123,2",No
The-W 104,Busan,"246,4",808,69,2015,2017,2,Concrete,"123,2",No
Madison Square Park Tower,New York City,237,777,61,2015,2017,2,Concrete,"118,5",No
3 Manhattan West,New York City,"222,5",730,64,2015,2017,2,Concrete,"111,25",No
Light House,Melbourne,218,715,69,2015,2017,2,Concrete,109,No
Fortune Financial Centre,Chongqing,210,689,45,2015,2017,2,Concrete,105,No
Akasaka Intercity AIR,Tokyo,"205,1",673,37,2015,2017,2,Steel,"102,55",No
Horizon Tower A,Abu Dhabi,205,673,63,2015,2017,2,Concrete,"102,5",No
252 East 57th Street,New York City,"217,9",715,65,2014,2016,2,Concrete,"108,95",No
International Towers Sydney Tower 1,Sydney,217,712,51,2014,2016,2,Concrete,"108,5",No
Jersey City Urby,Jersey City,"213,5",700,70,2014,2016,2,Concrete,"106,75",No
Millennium Tower,Boston,"207,5",681,54,2014,2016,2,Concrete,"103,75",No
Jinshui Wanda Center Office Tower,Zhengzhou,200,656,43,2014,2016,2,Concrete,100,No
Qingxiu Wanda Mansion 1,Nanning,"216,4",710,60,2013,2015,2,Concrete,"108,2",No
Qingxiu Wanda Mansion 4,Nanning,"216,4",710,60,2013,2015,2,Concrete,"108,2",No
U-Residence Tower 2,Tangerang,209,686,59,2013,2015,2,Concrete,"104,5",No
Prima Pearl Apartments,Melbourne,254,833,72,2012,2014,2,Concrete,127,No
Courtyard & Residence Inn Manhattan/Central Park,New York City,"229,6",753,67,2011,2013,2,Concrete,"114,8",No
Olaya Tower 2,Riyadh,"203,4",667,36,2011,2013,2,Concrete,"101,7",No
The Yomiuri Shimbun Building,Tokyo,200,656,33,2011,2013,2,Steel,100,No
Asia Square Tower 1,Singapore,229,751,43,2009,2011,2,Concrete,"114,5",No
Hotel Riu Plaza Guadalajara,Guadalajara,215,705,44,2009,2011,2,Concrete,"107,5",No
201 Tower,Guiyang,201,659,39,2009,2011,2,Steel,"100,5",No
Aqua at Lakeshore East,Chicago,"261,8",859,86,2007,2009,2,Concrete,"130,9",No
L'Arc New World Hotel,Macau,217,712,56,2007,2009,2,Concrete,"108,5",No
BM Plaza Office Tower,Shanghai,203,666,50,2007,2009,2,Concrete,"101,5",No
Nestle Plaza,Sharjah,225,738,58,2006,2008,2,Concrete,"112,5",No
Sovereign,Atlanta,"202,7",665,48,2006,2008,2,Concrete,"101,35",No
Barclay Tower,New York City,"205,1",673,56,2005,2007,2,Concrete,"102,55",No
340 on the Park,Chicago,"204,9",672,64,2005,2007,2,Concrete,"102,45",No
Millennium Tower,Dubai,"285,1",935,59,2004,2006,2,Concrete,"142,55",No
Times Square Excellence,Shenzhen,218,715,52,2004,2006,2,Concrete,109,No
Le Reve,Dubai,210,689,50,2004,2006,2,Concrete,105,No
Marina Heights,Dubai,"208,4",684,55,2004,2006,2,Concrete,"104,2",No
Aurora,Brisbane,207,679,69,2004,2006,2,Concrete,"103,5",No
Tamani Hotel Marina,Dubai,207,679,54,2004,2006,2,Concrete,"103,5",No
Marina Crown,Dubai,207,679,52,2004,2006,2,Concrete,"103,5",No
Chelsea Tower,Dubai,250,820,49,2003,2005,2,Concrete,125,No
Al Seef Tower,Dubai,215,705,44,2003,2005,2,Concrete,"107,5",No
New York New York,Chongqing,228,748,46,2002,2004,2,Concrete,114,No
Ernst & Young Tower at Latitude,Sydney,222,728,45,2002,2004,2,Concrete,111,No
May House,Hong Kong,"205,5",674,47,2002,2004,2,Concrete,"102,75",No
Trump World Tower,New York City,"262,4",861,72,1999,2001,2,Concrete,"131,2",No
China Merchants Bank Tower,Shenzhen,249,817,53,1999,2001,2,Steel,"124,5",No
383 Madison Avenue,New York City,"230,3",755,47,1999,2001,2,Steel,"115,15",No
GT International Tower,Makati,"217,2",713,43,1999,2001,2,Concrete,"108,6",No
Island Resort Towers 1 & 2,Hong Kong,"202,2",663,60,1999,2001,2,Concrete,"101,1",No
